Style-Fabric-Color,Gender,Birth Season,Comm. Category SubGroup,new,vip,revenue
2 PEZZI BICCH. LONGDRINK CONF.REG.MEDUSA LUMIERE-FORMA 2066,Unisex,-missing description-,HOME,20,0,13285.23061
2 PEZZI BICCHIERE LONGDRINK CONF. REG. MEDUSA LUMIERE HAZE-FORMA 2066,Unisex,Not Seasonal 2016,HOME,2,0,418.2626953
2 PEZZI BICCHIERE WHISKY CONF. REG. MEDUSA DOR-FORMA 2066,Unisex,-missing description-,HOME,11,1,8748.70752
2 PEZZI BICCHIERE WHISKY CONF. REG. MEDUSA LUMIERE-FORMA 2066,Unisex,-missing description-,HOME,86,0,32723.87875
ABB. SPORTIVO - FELPA CON CAPPUCCIO TRIBUTE-Black + Print,Male,Spring / Summer 2018,RTW,45,5,222176.8962
ABB. SPORTIVO - FELPA CON CAPPUCCIO UOMO-Black - Red,Male,Spring / Summer 2018,RTW,7,0,6503.267578
ABB. SPORTIVO - FELPA CON CAPPUCCIO UOMO-black+print,Male,Spring / Summer 2018,RTW,2,0,1641.673065
ABB. SPORTIVO - FELPA CON CAPPUCCIO-Black,Male,Spring / Summer 2017,RTW,35,0,100462.9119
ABB. SPORTIVO - FELPA CON CAPPUCCIO-Black,Male,Spring / Summer 2018,RTW,60,1,185735.0971
ABB. SPORTIVO - FELPA CON CAPPUCCIO-black - white - green,Male,Spring / Summer 2018,RTW,2,0,4327.666687
ABB. SPORTIVO - FELPA CON CAPPUCCIO-Black + Print,Male,Fall / Winter 2017-2018,RTW,2,0,3857.663208
ABB. SPORTIVO - FELPA CON CAPPUCCIO-Black + Print,Male,Spring / Summer 2018,RTW,3,1,18737.85199
ABB. SPORTIVO - FELPA CON CAPPUCCIO-Red - Black - White,Male,Fall / Winter 2017-2018,RTW,0,0,211.7843933
ABB. SPORTIVO - FELPA DONNA-Black,Female,Fall / Winter 2018-2019,RTW,26,1,16649.42671
ABB. SPORTIVO - FELPA DONNA-black+print,Female,Spring / Summer 2018,RTW,12,1,6122.107727
ABB. SPORTIVO - FELPA DONNA-Green Orange,Female,Spring / Summer 2018,RTW,0,0,1122.200485
